arbol;cuadrante;sp;x;y;dbh;H
2848;2;Quercus faginea;-2.004313894;-8.681637277;9.95;4.5
2849;2;Quercus faginea;-1.747810398;-8.991705;6.9;4.1
2850;2;Juniperus thurifera;-1.129728813;-9.200902826;5.5;4.6
2851;2;Quercus faginea;-0.851906976;-8.105353447;8.9;4.8
2852;2;Pinus pinea;4.297018576;22.10624417;24.8;7.2
2853;2;Quercus faginea;5.446884859;17.8159576;12.45;3.8
2854;2;Pinus pinea;12.71113969;21.15488898;43.05;10
2855;3;Quercus ilex;0.06439938;3.689437995;6.2;3.9
2856;3;Quercus faginea;3.536780598;4.367560303;8.3;3.7
2857;3;Quercus ilex;6.444988566;4.856647237;7.2;3
2858;3;Juniperus thurifera;-5.975408661;-0.417841278;8.3;4.2
2859;2;Quercus faginea;-1.513661333;-0.377398157;7.05;3.5
2860;3;Pinus pinea;-6.214548909;4.03577525;15.9;8
2861;3;Pinus pinea;-6.665248576;1.295593079;32.1;9.7
2862;3;Pinus pinea;-10.87745305;6.535833171;43.65;10.6
2863;3;Juniperus thurifera;-9.670527603;3.907146769;10.6;4.4
2864;3;Juniperus thurifera;1.792049194;-10.16321601;6.75;4.3
2865;3;Quercus faginea;24.98319148;-7.163814878;12.2;5.5
2866;3;Quercus faginea;8.017390841;11.0349918;12.6;3.8
2867;3;Pinus pinea;2.301156484;11.83842383;35.9;10.9
2868;3;Pinus pinea;2.281323476;9.149888699;10.4;4.6
2869;3;Quercus faginea;3.019329143;7.473101868;9.15;4.7
2870;3;Quercus faginea;0.583071919;6.66454253;12.25;5.5
2871;3;Pinus pinea;9.988157056;-5.536525863;37.95;12.1
2872;3;Quercus faginea;10.80790914;-5.506904762;9.15;4
2873;3;Pinus pinea;14.38170216;3.320277562;41.95;11
2874;3;Pinus pinea;4.699227321;1.618073728;10.2;4
2875;7;Pinus pinea;13.63614381;-14.12064028;19.75;6.4
2876;7;Pinus pinea;8.080473821;-9.978554145;30.15;8.9
2877;3;Pinus pinea;6.74;-11.67402244;9.2;5
2878;7;Pinus pinea;4.46125758;-4.160189996;44.3;11.6
2879;7;Pinus pinea;19.42057406;-6.310127025;25.3;7.7
2880;7;Pinus pinea;-12.41008234;3.094181045;27.05;8.8
2881;7;Quercus faginea;-8.316621364;2.228431978;8.45;3.9
2882;7;Quercus faginea;-7.058181037;3.912413635;13.7;5.3
2883;7;Quercus faginea;-5.806616879;4.872330081;7.6;3.9
2884;7;Pinus pinea;-3.866968315;-1.970318769;20.55;7.6
2885;7;Quercus faginea;-3.322784842;0.890337515;10.45;4.8
2886;7;Quercus faginea;-3.562353783;1.512129467;10.15;5.1
2887;7;Pinus pinea;-2.706135837;3.225047106;24.5;9.6
2888;7;Pinus pinea;-6.119675065;7.832826891;41.8;10.9
2889;7;Quercus faginea;-13.51438442;10.5585943;10.5;3.8
2890;7;Quercus faginea;-0.422524407;-0.794652834;16.4;4
2891;7;Quercus faginea;-3.415;-5.914953508;8.25;3.5
2892;7;Quercus ilex;-2.634524809;-2.133396126;9.4;3.3
2893;8;Quercus faginea;-3.622793454;-0.444823103;10.8;4.6
2894;8;Quercus ilex;3.959286654;-20.36876406;8.8;3.2
2895;8;Quercus ilex;2.53731973;-20.66481088;7.7;4.1
2896;8;Quercus ilex;3.741912404;-23.62550511;8.35;3.8
2897;8;Pinus pinea;1.922655685;-21.97605504;14.5;7.4
2898;8;Pinus pinea;0;-18.79;16.55;7.1
2899;8;Pinus pinea;0;-21.93;18.2;7.4
2900;8;Quercus ilex;5.548382025;13.07116892;8.5;4.5
2901;8;Quercus ilex;6.036795935;14.22179999;10.95;5
2902;8;Quercus faginea;3.865911892;15.50532571;12.1;4.3
2904;7;Pinus pinea;9.545328641;2.737078943;38.4;10.2
2905;7;Quercus faginea;4.855102222;0.856085516;10.75;4.7
2906;7;Quercus faginea;9.758360805;-1.545572515;13.6;5.2
2907;7;Quercus ilex;12.02016711;-1.90380744;11.15;3.2
2908;7;Quercus ilex;13.76661512;-1.690327793;10.45;3.3
2909;7;Quercus faginea;-9.578461823;-11.01875987;11.25;4.5
2910;7;Quercus faginea;-7.200817765;-6.042203531;13.8;5.6
2911;7;Quercus faginea;-8.81717154;-7.398485388;9.15;4
2912;11;Pinus pinea;7.258138585;7.009102958;37.25;10.4
2913;7;Juniperus thurifera;-2.445;4.234864225;7.3;4
2914;11;Pinus pinea;0.234873613;6.725900266;16.1;6.1
2915;11;Juniperus thurifera;-1.213207939;13.8670302;7.05;4.5
2916;11;Pinus pinea;-1.739353629;16.54884434;31.2;11.2
2917;11;Quercus faginea;4.477693948;-2.797973715;10.85;4.7
2918;11;Quercus faginea;2.642473986;-1.067628791;16.5;5.7
2919;11;Quercus ilex;5.674236034;-0.797461869;7.75;3.6
2920;11;Quercus ilex;-10.33197415;-8.981448107;11.85;4.2
2921;11;Pinus pinea;-6.387646331;-12.5364618;50.45;13
2922;11;Pinus pinea;-4.583526075;-11.94049366;14.15;5.4
2923;11;Quercus faginea;-2.457984775;-4.434321915;9.3;3.7
2924;11;Pinus pinea;-0.04293292;-2.45962533;16.1;5.9
2925;11;Pinus pinea;0.915141621;-5.777976793;23.1;5.9
2926;11;Pinus pinea;2.047312015;-11.61088341;16.5;5.8
2927;11;Juniperus thurifera;2.135330448;-13.48194585;7.4;4.8
2928;11;Quercus faginea;4.130101358;-17.88943439;9.9;3.4
2929;11;Quercus faginea;5.698050398;-14.84392878;7.6;4.6
2930;11;Quercus faginea;8.52140168;-16.72419246;9.6;3
2931;11;Quercus faginea;7.967882242;-19.72120059;10.65;4.4
2932;11;Quercus faginea;10.09858439;-18.2183285;7.2;4
2933;15;Quercus faginea;15.74726802;-15.74726802;9.85;3.9
2934;15;Quercus faginea;-12.21410277;-5.438068918;9.45;4.7
2935;15;Quercus faginea;-13.5145131;-4.39113149;11.5;4.4
2936;15;Quercus faginea;-13.99166437;-3.488513735;6.45;3.7
2937;15;Quercus faginea;-15.5721098;-3.309954118;8.3;2.3
2938;15;Pinus pinea;-18.28497589;-4.899444524;40;10.7
2939;15;Quercus ilex;-18.74089154;-3.304524821;8.05;4.3
2940;15;Quercus ilex;-19.17438214;-2.015308772;9.5;4.1
2941;15;Quercus faginea;11.68491929;-6.477056527;7.6;4
2942;15;Pinus pinea;12.14101913;-5.405529987;22.45;6.9
2943;15;Quercus faginea;9.07685585;-1.437632734;11.95;3.3
2944;15;Quercus ilex;7.025717514;0.245343462;8.7;3.9
2945;15;Pinus pinea;11.58871112;6.423727468;24.3;8
2946;15;Quercus faginea;14.10950253;7.502155573;8.7;5.3
2947;15;Pinus pinea;15.38198015;6.214723385;24.65;9.1
2948;15;Pinus pinea;17.97857461;8.004577136;46.7;11.7
2949;15;Quercus ilex;0.944360606;-3.088864362;12.1;4.7
2950;15;Quercus ilex;2.442468889;-4.7936151;10.9;4.6
2951;15;Quercus ilex;1.349924177;-5.414250153;10.7;4.6
2952;15;Pinus pinea;-1.826778829;-10.36017756;27.45;7.9
2953;15;Pinus pinea;14.81837624;1.557474103;19.6;7
2954;15;Quercus faginea;13.35303214;4.860106237;10.05;3.4
2955;15;Quercus faginea;9.082589731;2.951112296;6.55;3.6
2956;15;Quercus ilex;14.34399852;-3.84346282;7.45;3.4
2957;15;Quercus ilex;15.9829318;-3.397277028;8.85;4.1
2958;15;Quercus faginea;14.9903308;-6.990106049;7.7;3.7
2959;15;Pinus pinea;-11.63039496;5.67252264;15.9;5.5
2960;15;Pinus pinea;-8.981043703;3.447499675;33.35;8.3
2961;15;Quercus ilex;-5.879946829;1.142945882;8.9;4.2
2962;15;Quercus ilex;-4.504195401;1.377070729;11.55;4.1
2963;16;Pinus pinea;-1.232465977;0.26196873;30.4;9.3
2964;16;Quercus faginea;-4.267398831;-0.149020851;7.05;4.3
2965;16;Quercus faginea;-4.75043638;-2.115030544;7.45;3.9
2966;16;Quercus faginea;-7.458914215;-0.783963475;9.05;4.5
2967;16;Quercus faginea;-10.07922802;-3.470556527;6.3;3.6
2968;16;Pinus pinea;2.966948064;3.937273065;13.85;5.3
2969;16;Pinus pinea;0.590107423;2.202310884;20.05;7.5
2970;16;Pinus pinea;-2.150786265;8.026843617;48.65;10.9
2971;16;Pinus pinea;4.014490667;9.016693667;36.3;8.7
2972;16;Quercus ilex;4.171402933;10.86687616;10.5;4.4
2973;16;Quercus ilex;0;12.2;9.4;4.1
2974;16;Quercus faginea;-4.840166053;10.87119095;9.2;4.8
2975;16;Pinus pinea;-3.814992725;14.23774668;18.3;6.9
2976;16;Quercus faginea;2.192036182;-3.249827284;10;5.4
2977;16;Quercus faginea;3.30546376;0.173232015;10.8;4.5
2978;16;Quercus faginea;8.488706932;0.148170931;9.2;3.8
2979;16;Pinus pinea;10.88006954;-1.143541388;21.4;7.1
