arbol;cuadrante;sp;x;y;dbh;H
2727;9;Pinus pinea;11.87037696;-13.1833892;6.8;3.1
2728;9;Pinus pinea;11.87037696;-13.1833892;7.7;3.1
2729;9;Juniperus thurifera;7.588887442;-10.07079378;7.9;6.1
2730;9;Juniperus thurifera;7.892780114;-10.10229786;5.7;4.5
2731;9;Pinus pinea;5.970930702;-8.527372781;11.6;4.2
2732;9;Pinus pinea;10.19823411;-6.622810666;15.35;4.9
2733;9;Pinus pinea;9.503409689;7.424877392;31;9.2
2734;9;Quercus faginea;3.864330861;9.103793001;7.1;3.1
2735;9;Quercus faginea;10.67425748;15.24441954;7.4;3.2
2736;9;Quercus faginea;-12.2446759;6.787334683;8.45;3.7
2737;9;Quercus faginea;-12.00185788;6.115252032;7.4;3.4
2738;9;Juniperus thurifera;-13.20889599;7.023294579;7.8;3.5
2739;9;Pinus pinea;-17.42994656;6.690729618;18.7;9.5
2740;9;Quercus faginea;14.15592666;-1.238483104;11.05;4.5
2741;9;Quercus faginea;13.62794347;-1.192290561;11.9;4.8
2742;9;Quercus faginea;15.67280476;-7.98569289;7.75;3.6
2743;9;Pinus pinea;8.159808886;1.146786352;42.7;10.7
2744;9;Quercus faginea;12.34306105;0.646872419;9.5;3.1
2745;9;Juniperus thurifera;12.98041692;1.135639328;7;4.1
2746;9;Juniperus thurifera;12.91068329;1.129538426;8.9;4.8
2747;9;Quercus faginea;-7.509474016;-7.509474016;6.9;3.3
2748;9;Quercus faginea;-5.647462318;-6.272142327;9.5;3.4
2749;9;Quercus faginea;-4.400683403;-6.776458189;8.2;4.1
2750;9;Pinus pinea;-1.499043291;-7.052444201;42.75;11
2751;9;Quercus faginea;-0.90939763;-8.65234049;6.2;3.5
2752;13;Pinus pinea;1.085986837;2.439166372;27.05;8.3
2753;13;Pinus pinea;-1.472680367;5.496117952;39.95;10.7
